Name,Tier,Size,Family,Series,vCPUs,MemoryGB,Generation,Architecture
Standard_E8-4ds_v4,Standard,E8-4ds_v4,MemoryOptimized,EDSv4,8,64,4,Intel
Standard_E8-4ds_v5,Standard,E8-4ds_v5,MemoryOptimized,EDSv5,8,64,5,Intel
Standard_E8-4ds_v6,Standard,E8-4ds_v6,MemoryOptimized,Edsv6,8,64,6,Intel
Standard_E8-4s_v3,Standard,E8-4s_v3,MemoryOptimized,ESv3,8,64,3,Intel
Standard_E8-4s_v4,Standard,E8-4s_v4,MemoryOptimized,ESv4,8,64,4,Intel
Standard_E8-4s_v5,Standard,E8-4s_v5,MemoryOptimized,ESv5,8,64,5,Intel
Standard_E8-4s_v6,Standard,E8-4s_v6,MemoryOptimized,Esv6,8,64,6,Intel
Standard_E8ads_v5,Standard,E8ads_v5,MemoryOptimized,EADSv5,8,64,5,AMD
Standard_E8ads_v6,Standard,E8ads_v6,MemoryOptimized,Eadv6,8,64,6,AMD
Standard_E8ads_v7,Standard,E8ads_v7,MemoryOptimized,Eadsv7,8,64,7,AMD
Standard_E8as_v4,Standard,E8as_v4,MemoryOptimized,EASv4,8,64,4,AMD
Standard_E8as_v5,Standard,E8as_v5,MemoryOptimized,EASv5,8,64,5,AMD
Standard_E8as_v6,Standard,E8as_v6,MemoryOptimized,Eav6,8,64,6,AMD
Standard_E8as_v7,Standard,E8as_v7,MemoryOptimized,Easv7,8,64,7,AMD
Standard_E8a_v4,Standard,E8a_v4,MemoryOptimized,EAv4,8,64,4,AMD
Standard_E8bds_v5,Standard,E8bds_v5,MemoryOptimized,EBDSv5,8,64,5,Intel
